x, y
1.000,1.000
0.900,0.833
0.800,0.694
0.700,0.579
0.600,0.482
0.500,0.402
0.400,0.335
0.300,0.279
0.200,0.233
0.100,0.194
0.000,0.162
0.000,0.135
0.000,0.112
0.000,0.093
0.000,0.078
0.000,0.065
0.000,0.054
0.000,0.045
0.000,0.038
0.000,0.031
0.000,0.026
0.000,0.022
0.000,0.018
0.000,0.015
0.000,0.013
0.000,0.010
0.000,0.009
0.000,0.007
0.000,0.006
0.000,0.005
0.000,0.004
0.000,0.004
0.000,0.003
0.000,0.002
0.000,0.002
0.000,0.002
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
