x, y
1.000,1.000
0.980,0.962
0.960,0.925
0.940,0.889
0.920,0.855
0.900,0.822
0.880,0.790
0.860,0.760
0.840,0.731
0.820,0.703
0.800,0.676
0.780,0.650
0.760,0.625
0.740,0.601
0.720,0.577
0.700,0.555
0.680,0.534
0.660,0.513
0.640,0.494
0.620,0.475
0.600,0.456
0.580,0.439
0.560,0.422
0.540,0.406
0.520,0.390
0.500,0.375
0.480,0.361
0.460,0.347
0.440,0.333
0.420,0.321
0.400,0.308
0.380,0.296
0.360,0.285
0.340,0.274
0.320,0.264
0.300,0.253
0.280,0.244
0.260,0.234
0.240,0.225
0.220,0.217
0.200,0.208
0.180,0.200
0.160,0.193
0.140,0.185
0.120,0.178
0.100,0.171
0.080,0.165
0.060,0.158
0.040,0.152
0.020,0.146
0.000,0.141
0.000,0.135
0.000,0.130
0.000,0.125
0.000,0.120
0.000,0.116
0.000,0.111
0.000,0.107
0.000,0.103
0.000,0.099
0.000,0.095
0.000,0.091
0.000,0.088
0.000,0.085
0.000,0.081
0.000,0.078
0.000,0.075
0.000,0.072
0.000,0.069
0.000,0.067
0.000,0.064
0.000,0.062
0.000,0.059
0.000,0.057
0.000,0.055
0.000,0.053
0.000,0.051
0.000,0.049
0.000,0.047
0.000,0.045
0.000,0.043
0.000,0.042
0.000,0.040
0.000,0.039
0.000,0.037
0.000,0.036
0.000,0.034
0.000,0.033
0.000,0.032
0.000,0.030
0.000,0.029
0.000,0.028
0.000,0.027
0.000,0.026
0.000,0.025
0.000,0.024
0.000,0.023
0.000,0.022
0.000,0.021
0.000,0.021
0.000,0.020
0.000,0.019
0.000,0.018
0.000,0.018
0.000,0.017
0.000,0.016
0.000,0.016
0.000,0.015
0.000,0.014
0.000,0.014
0.000,0.013
0.000,0.013
0.000,0.012
0.000,0.012
0.000,0.011
0.000,0.011
0.000,0.011
0.000,0.010
0.000,0.010
0.000,0.009
0.000,0.009
0.000,0.009
0.000,0.008
0.000,0.008
0.000,0.008
0.000,0.007
0.000,0.007
0.000,0.007
0.000,0.007
0.000,0.006
0.000,0.006
0.000,0.006
0.000,0.006
0.000,0.005
0.000,0.005
0.000,0.005
0.000,0.005
0.000,0.005
0.000,0.004
0.000,0.004
0.000,0.004
0.000,0.004
0.000,0.004
0.000,0.004
0.000,0.004
0.000,0.003
0.000,0.003
0.000,0.003
0.000,0.003
0.000,0.003
0.000,0.003
0.000,0.003
0.000,0.003
0.000,0.002
0.000,0.002
0.000,0.002
0.000,0.002
0.000,0.002
0.000,0.002
0.000,0.002
0.000,0.002
0.000,0.002
0.000,0.002
0.000,0.002
0.000,0.002
0.000,0.002
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
